	CodigoMatricula	AreaPrograma	Cargo	NombrePais	VersionPrograma	Modalidad
4303	9727714A14246	Proyectos	Analista	Perú	Sin Version	Online Sincronica
4304	77486A14814	Proyectos	Coordinador	Perú	Sin Version	Online Sincronica
4305	183948A14814	Proyectos	Supervisor	Perú	Sin Version	Online Sincronica
4306	9351659A16470	Proyectos	Supervisor	Perú	Sin Version	Online Sincronica
4307	9965654A14814	Proyectos	Estudiante	Perú	Sin Version	Online Sincronica
4308	9969320A16470	Proyectos	Analista	Perú	Sin Version	Online Sincronica
4309	9977878A16470	Proyectos	Practicante	Perú	Sin Version	Online Sincronica
4310	9309203A16470	Proyectos	Estudiante	Perú	Sin Version	Online Sincronica
4311	9808925A14609	Proyectos	Operario	Perú	Sin Version	Online Sincronica
4312	9647179A14609	Proyectos	Coordinador	Perú	Sin Version	Online Sincronica
4313	9810452A11549	Proyectos	Encargado	Perú	Sin Version	Online Asincronica
